AskedPrice,FinalPrice,Surface,Room number,Sold date
2950000,3450000,56,3,2015-08-16,
2895000,3350000,53.5,2,2015-08-14,
6000000,6900000,NaN,NaN,2015-08-14,
1975000,2260000,36,2,2015-08-13,
1695000,2075000,39,1.5,2015-08-13,
2995000,3300000,77.9,3,2015-08-12,
1795000,2125000,31.6,1,2015-08-12,
3650000,4050000,77,4,2015-08-12,
2695000,3010000,46,2,2015-08-12,
1650000,1900000,31.5,1,2015-08-12,
1595000,2150000,31,1,2015-08-12,
2195000,2515000,64.6,2,2015-08-12,
2795000,3360000,56,2,2015-08-11,
1795000,1950000,39,1,2015-08-11,
7495000,7495000,104,4,2015-08-11,
6250000,6250000,85,3,2015-08-10,
1650000,1950000,34.5,1,2015-08-05,
2475000,3000000,69.5,3,2015-08-04,
1995000,2250000,57.7,2,2015-07-31,
1995000,2380000,59.5,2,2015-07-28,
4750000,4650000,78,2,2015-07-19,
2450000,3000000,69.5,3,2015-07-08,
2295000,2405000,63,2,2015-07-03,
5995000,5995000,104,4,2015-07-02,
1675000,2000000,38.9,1,2015-07-01,
3500000,3760000,62,3,2015-07-01,
50000000,47000000,250,10,2015-06-29,
2150000,2200000,69.5,3,2015-06-25,
2450000,2500000,69.5,3,2015-06-25,
2150000,2350000,67,3,2015-06-24,
2350000,2550000,62.9,2.5,2015-06-23,
1995000,2540000,34.7,1,2015-06-18,
2495000,2600000,66,3,2015-06-18,
6750000,6750000,131,5,2015-06-18,
6850000,6850000,137,5,2015-06-18,
2095000,2400000,70,3,2015-06-17,
2195000,2450000,78.1,3,2015-06-17,
4750000,5350000,105,4,2015-06-17,
3195000,3147500,74,3,2015-06-17,
2750000,2925000,78,4,2015-06-16,
6750000,7450000,124,5,2015-06-16,
16500000,16500000,202,7,2015-06-16,
3800000,4240000,91,4,2015-06-12,
2490000,2910000,66,2,2015-06-12,
1550000,1600000,30,1,2015-06-12,
3195000,3570000,91.3,4,2015-06-12,
3375000,4000000,95,4,2015-06-12,
2655000,2800000,59,3,2015-06-12,
10075000,10075000,263,9,2015-06-12,
2995000,3700000,78,3,2015-06-12,
NaN,2830000,46,2,2015-06-12,
1725000,2140000,64.6,2,2015-06-12,
1495000,1660000,29.5,1,2015-06-11,
3975000,4850000,84,3,2015-06-11,
4750000,4750000,96,2,2015-06-11,
1195000,1350000,20,1,2015-06-10,
1995000,2350000,58,2,2015-06-10,
1695000,1875000,40.3,1,2015-06-10,
2295000,2550000,57,2,2015-06-09,
9750000,10020000,193,6,2015-06-09,
1495000,1850000,36,1,2015-06-09,
1795000,2000000,31,1.5,2015-06-06,
5875000,4800000,50,3,2015-06-05,
5150000,5500000,133,5,2015-06-05,
5950000,5400000,144,6,2015-06-05,
5800000,5800000,104,4,2015-06-05,
1995000,2150000,40.3,1,2015-06-04,
1650000,1750000,35.1,1,2015-06-04,
2700000,2610000,41,1,2015-06-03,
1625000,1850000,33.2,1,2015-06-03,
2195000,2350000,64.5,2,2015-06-03,
3195000,3075000,70,3,2015-06-02,
4500000,4925000,91,3,2015-05-29,
4250000,4400000,89.3,3,2015-05-28,
2595000,2760000,78.1,3,2015-05-28,
11900000,12500000,222,5,2015-05-28,
1695000,2055000,64.6,2,2015-05-27,
1995000,2000000,60,2,2015-05-27,
2050000,2220000,64.6,2,2015-05-27,
3950000,4560000,91,3,2015-05-26,
10500000,10900000,181,7,2015-05-22,
2695000,2850000,78,4,2015-05-22,
1575000,1740000,33.2,1,2015-05-21,
3695000,4650000,93,4,2015-05-21,
5750000,6300000,133,7,2015-05-20,
1995000,2350000,53.5,2,2015-05-20,
1495000,1700000,29.5,1,2015-05-20,
4150000,4250000,86,3,2015-05-19,
3800000,3800000,64,2,2015-05-18,
2495000,2700000,80,3,2015-05-18,
4495000,4800000,83,3,2015-05-18,
